"trainer/global_step","c3g-sam-base - loss/feature_rendering_loss_step","c3g-sam-base - loss/feature_rendering_loss_step__MIN","c3g-sam-base - loss/feature_rendering_loss_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"9","0.9902865290641785","0.9902865290641785","0.9902865290641785","12","12","12"
"19","0.9792459011077881","0.9792459011077881","0.9792459011077881","17","17","17"
"29","0.9477013349533081","0.9477013349533081","0.9477013349533081","22","22","22"
"39","0.9259960055351257","0.9259960055351257","0.9259960055351257","27","27","27"
"49","0.9225908517837524","0.9225908517837524","0.9225908517837524","32","32","32"
"59","0.9420739412307739","0.9420739412307739","0.9420739412307739","37","37","37"
"69","0.9007512927055359","0.9007512927055359","0.9007512927055359","42","42","42"
"79","0.8494998216629028","0.8494998216629028","0.8494998216629028","47","47","47"
"89","0.8822352290153503","0.8822352290153503","0.8822352290153503","52","52","52"
"99","0.8533978462219238","0.8533978462219238","0.8533978462219238","57","57","57"
"109","0.8988041877746582","0.8988041877746582","0.8988041877746582","62","62","62"
"119","0.8451651334762573","0.8451651334762573","0.8451651334762573","67","67","67"
"129","0.8709443807601929","0.8709443807601929","0.8709443807601929","72","72","72"
"139","0.8516587018966675","0.8516587018966675","0.8516587018966675","77","77","77"
"149","0.8503326177597046","0.8503326177597046","0.8503326177597046","82","82","82"
"159","0.8687455058097839","0.8687455058097839","0.8687455058097839","87","87","87"
"169","0.8673089742660522","0.8673089742660522","0.8673089742660522","92","92","92"
"179","0.863966166973114","0.863966166973114","0.863966166973114","97","97","97"
"189","0.8677992224693298","0.8677992224693298","0.8677992224693298","102","102","102"
"199","0.8641977310180664","0.8641977310180664","0.8641977310180664","107","107","107"
"209","0.8549997210502625","0.8549997210502625","0.8549997210502625","112","112","112"
"219","0.8603986501693726","0.8603986501693726","0.8603986501693726","117","117","117"
"229","0.8779664039611816","0.8779664039611816","0.8779664039611816","122","122","122"
"239","0.8795733451843262","0.8795733451843262","0.8795733451843262","127","127","127"
"249","0.876579761505127","0.876579761505127","0.876579761505127","132","132","132"
"259","0.8764441013336182","0.8764441013336182","0.8764441013336182","137","137","137"
"269","0.8904396891593933","0.8904396891593933","0.8904396891593933","143","143","143"
"279","0.8641461730003357","0.8641461730003357","0.8641461730003357","148","148","148"
"289","0.8514624834060669","0.8514624834060669","0.8514624834060669","153","153","153"
"299","0.8419219255447388","0.8419219255447388","0.8419219255447388","158","158","158"
"309","0.8350595235824585","0.8350595235824585","0.8350595235824585","163","163","163"
"319","0.8402165174484253","0.8402165174484253","0.8402165174484253","168","168","168"
"329","0.8342494964599609","0.8342494964599609","0.8342494964599609","173","173","173"
"339","0.8586448431015015","0.8586448431015015","0.8586448431015015","178","178","178"
"349","0.8577178716659546","0.8577178716659546","0.8577178716659546","183","183","183"
"359","0.8772745132446289","0.8772745132446289","0.8772745132446289","188","188","188"
"369","0.9010173678398132","0.9010173678398132","0.9010173678398132","193","193","193"
"379","0.8502696752548218","0.8502696752548218","0.8502696752548218","198","198","198"
"389","0.9154068827629089","0.9154068827629089","0.9154068827629089","203","203","203"
"399","0.8653392195701599","0.8653392195701599","0.8653392195701599","208","208","208"
"409","0.8557287454605103","0.8557287454605103","0.8557287454605103","213","213","213"
"419","0.8808543086051941","0.8808543086051941","0.8808543086051941","218","218","218"
"429","0.889581561088562","0.889581561088562","0.889581561088562","223","223","223"
"439","0.9344250559806824","0.9344250559806824","0.9344250559806824","228","228","228"
"449","0.8287644386291504","0.8287644386291504","0.8287644386291504","233","233","233"
"459","0.8880351781845093","0.8880351781845093","0.8880351781845093","238","238","238"
"469","0.8717120885848999","0.8717120885848999","0.8717120885848999","243","243","243"
"479","0.8519066572189331","0.8519066572189331","0.8519066572189331","248","248","248"
"489","0.8867839574813843","0.8867839574813843","0.8867839574813843","253","253","253"
"499","0.8509573340415955","0.8509573340415955","0.8509573340415955","258","258","258"
"509","0.8789581656455994","0.8789581656455994","0.8789581656455994","296","296","296"
"519","0.8870981931686401","0.8870981931686401","0.8870981931686401","301","301","301"
"529","0.8546068072319031","0.8546068072319031","0.8546068072319031","306","306","306"
"539","0.8358451724052429","0.8358451724052429","0.8358451724052429","312","312","312"
"549","0.8349959254264832","0.8349959254264832","0.8349959254264832","317","317","317"
"559","0.8134044408798218","0.8134044408798218","0.8134044408798218","322","322","322"
"569","0.8295884132385254","0.8295884132385254","0.8295884132385254","327","327","327"
"579","0.8090063333511353","0.8090063333511353","0.8090063333511353","332","332","332"
"589","0.8023321032524109","0.8023321032524109","0.8023321032524109","337","337","337"
"599","0.8736261129379272","0.8736261129379272","0.8736261129379272","342","342","342"
"609","0.9259173274040222","0.9259173274040222","0.9259173274040222","347","347","347"
"619","0.8757714629173279","0.8757714629173279","0.8757714629173279","352","352","352"
"629","0.8667740225791931","0.8667740225791931","0.8667740225791931","357","357","357"
"639","0.9069414138793945","0.9069414138793945","0.9069414138793945","362","362","362"
"649","0.8420337438583374","0.8420337438583374","0.8420337438583374","367","367","367"
"659","0.8882104754447937","0.8882104754447937","0.8882104754447937","372","372","372"
"669","0.9290302991867065","0.9290302991867065","0.9290302991867065","377","377","377"
"679","0.8759913444519043","0.8759913444519043","0.8759913444519043","382","382","382"
"689","0.8386654853820801","0.8386654853820801","0.8386654853820801","387","387","387"
"699","0.8763923645019531","0.8763923645019531","0.8763923645019531","392","392","392"
"709","0.8479074239730835","0.8479074239730835","0.8479074239730835","397","397","397"
"719","0.8616567850112915","0.8616567850112915","0.8616567850112915","402","402","402"
"729","0.8682035207748413","0.8682035207748413","0.8682035207748413","407","407","407"
"739","0.8435157537460327","0.8435157537460327","0.8435157537460327","412","412","412"
"749","0.8460663557052612","0.8460663557052612","0.8460663557052612","417","417","417"
"759","0.8780805468559265","0.8780805468559265","0.8780805468559265","422","422","422"
"769","0.8605368137359619","0.8605368137359619","0.8605368137359619","427","427","427"
"779","0.8628368377685547","0.8628368377685547","0.8628368377685547","432","432","432"
"789","0.8661913871765137","0.8661913871765137","0.8661913871765137","437","437","437"
"799","0.8652342557907104","0.8652342557907104","0.8652342557907104","442","442","442"
"809","0.8438420295715332","0.8438420295715332","0.8438420295715332","448","448","448"
"819","0.809919536113739","0.809919536113739","0.809919536113739","453","453","453"
"829","0.8597761988639832","0.8597761988639832","0.8597761988639832","458","458","458"
"839","0.8513020873069763","0.8513020873069763","0.8513020873069763","463","463","463"
"849","0.7937992811203003","0.7937992811203003","0.7937992811203003","468","468","468"
"859","0.8511616587638855","0.8511616587638855","0.8511616587638855","473","473","473"
"869","0.8521777987480164","0.8521777987480164","0.8521777987480164","478","478","478"
"879","0.8921818137168884","0.8921818137168884","0.8921818137168884","483","483","483"
"889","0.8744670152664185","0.8744670152664185","0.8744670152664185","488","488","488"
"899","0.8778165578842163","0.8778165578842163","0.8778165578842163","493","493","493"
"909","0.8742932081222534","0.8742932081222534","0.8742932081222534","498","498","498"
"919","0.8824734687805176","0.8824734687805176","0.8824734687805176","503","503","503"
"929","0.8337761759757996","0.8337761759757996","0.8337761759757996","508","508","508"
"939","0.8507587313652039","0.8507587313652039","0.8507587313652039","513","513","513"
"949","0.9112488627433777","0.9112488627433777","0.9112488627433777","518","518","518"
"959","0.9074898958206177","0.9074898958206177","0.9074898958206177","523","523","523"
"969","0.8864083290100098","0.8864083290100098","0.8864083290100098","528","528","528"
"979","0.859582781791687","0.859582781791687","0.859582781791687","533","533","533"
"989","0.9369139671325684","0.9369139671325684","0.9369139671325684","538","538","538"
"999","0.93648761510849","0.93648761510849","0.93648761510849","543","543","543"
"1009","1","1","1","581","581","581"
"1019","1","1","1","586","586","586"
"1029","1","1","1","591","591","591"
"1039","1","1","1","596","596","596"
"1049","1","1","1","601","601","601"
"1059","1","1","1","606","606","606"
"1069","1","1","1","611","611","611"
"1079","1","1","1","617","617","617"
"1089","1","1","1","622","622","622"
"1099","1","1","1","627","627","627"
"1109","1","1","1","632","632","632"
"1119","1","1","1","637","637","637"
"1129","1","1","1","642","642","642"
"1139","1","1","1","647","647","647"
"1149","1","1","1","652","652","652"
"1159","1","1","1","657","657","657"
"1169","1","1","1","662","662","662"
"1179","1","1","1","667","667","667"
"1189","1","1","1","672","672","672"
"1199","1","1","1","677","677","677"
"1209","1","1","1","682","682","682"
"1219","1","1","1","687","687","687"
"1229","1","1","1","692","692","692"
"1239","1","1","1","697","697","697"
"1249","1","1","1","702","702","702"
"1259","1","1","1","707","707","707"
"1269","1","1","1","712","712","712"
"1279","1","1","1","717","717","717"
"1289","1","1","1","722","722","722"
"1299","1","1","1","727","727","727"
"1309","1","1","1","732","732","732"
"1319","1","1","1","737","737","737"
"1329","1","1","1","742","742","742"
"1339","1","1","1","747","747","747"
"1349","1","1","1","753","753","753"
"1359","1","1","1","758","758","758"
"1369","1","1","1","763","763","763"
"1379","1","1","1","768","768","768"
"1389","1","1","1","773","773","773"
"1399","0.9998385310173035","0.9998385310173035","0.9998385310173035","778","778","778"
"1409","1","1","1","783","783","783"
"1419","1","1","1","788","788","788"
"1429","1","1","1","793","793","793"
"1439","1","1","1","798","798","798"
"1449","1","1","1","803","803","803"
"1459","1","1","1","808","808","808"
"1469","1","1","1","813","813","813"
"1479","1","1","1","818","818","818"
"1489","1","1","1","823","823","823"
"1499","1","1","1","828","828","828"
"1509","1","1","1","866","866","866"
"1519","1","1","1","871","871","871"
"1529","1","1","1","876","876","876"
"1539","1","1","1","881","881","881"
"1549","1","1","1","886","886","886"
"1559","1","1","1","891","891","891"
"1569","1","1","1","896","896","896"
"1579","1","1","1","901","901","901"
"1589","1","1","1","906","906","906"
"1599","1","1","1","911","911","911"
"1609","1","1","1","917","917","917"
"1619","1","1","1","922","922","922"
"1629","1","1","1","927","927","927"
"1639","1","1","1","932","932","932"
"1649","1","1","1","937","937","937"
"1659","1","1","1","942","942","942"
"1669","1","1","1","947","947","947"
"1679","1","1","1","952","952","952"
"1689","1","1","1","957","957","957"
"1699","1","1","1","962","962","962"
"1709","1","1","1","967","967","967"
"1719","1","1","1","972","972","972"
"1729","1","1","1","977","977","977"
"1739","1","1","1","982","982","982"
"1749","1","1","1","987","987","987"
"1759","1","1","1","992","992","992"
"1769","1","1","1","997","997","997"
"1779","1","1","1","1002","1002","1002"
"1789","1","1","1","1007","1007","1007"
"1799","1","1","1","1012","1012","1012"
"1809","1","1","1","1017","1017","1017"
"1819","0.9996039271354675","0.9996039271354675","0.9996039271354675","1022","1022","1022"
"1829","1","1","1","1027","1027","1027"
"1839","1","1","1","1032","1032","1032"
"1849","1","1","1","1037","1037","1037"
"1859","1","1","1","1042","1042","1042"
"1869","1","1","1","1047","1047","1047"
"1879","1","1","1","1053","1053","1053"
"1889","1","1","1","1058","1058","1058"
"1899","1","1","1","1063","1063","1063"
"1909","1","1","1","1068","1068","1068"
"1919","1","1","1","1073","1073","1073"
"1929","1","1","1","1078","1078","1078"
"1939","0.8574449419975281","0.8574449419975281","0.8574449419975281","1083","1083","1083"
"1949","1","1","1","1088","1088","1088"
"1959","1","1","1","1093","1093","1093"
"1969","1","1","1","1098","1098","1098"
"1979","1","1","1","1103","1103","1103"
"1989","1","1","1","1108","1108","1108"
"1999","1","1","1","1113","1113","1113"
"2009","1","1","1","1151","1151","1151"
"2019","1","1","1","1156","1156","1156"
"2029","1","1","1","1161","1161","1161"
"2039","1","1","1","1166","1166","1166"
"2049","1","1","1","1171","1171","1171"
"2059","1","1","1","1176","1176","1176"
"2069","1","1","1","1181","1181","1181"
"2079","0.9780482649803162","0.9780482649803162","0.9780482649803162","1186","1186","1186"
"2089","1","1","1","1191","1191","1191"
"2099","1","1","1","1196","1196","1196"
"2109","1","1","1","1201","1201","1201"
"2119","1","1","1","1206","1206","1206"
"2129","1","1","1","1211","1211","1211"
"2139","1","1","1","1216","1216","1216"
"2149","1","1","1","1222","1222","1222"
"2159","1","1","1","1227","1227","1227"
"2169","1","1","1","1232","1232","1232"
"2179","1","1","1","1237","1237","1237"
"2189","1","1","1","1242","1242","1242"
"2199","1","1","1","1247","1247","1247"
"2209","1","1","1","1252","1252","1252"
"2219","1","1","1","1257","1257","1257"
"2229","1","1","1","1262","1262","1262"
"2239","1","1","1","1267","1267","1267"
"2249","1","1","1","1272","1272","1272"
"2259","1","1","1","1277","1277","1277"
"2269","1","1","1","1282","1282","1282"
"2279","1","1","1","1287","1287","1287"
"2289","1","1","1","1292","1292","1292"
"2299","1","1","1","1297","1297","1297"
"2309","1","1","1","1302","1302","1302"
"2319","1","1","1","1307","1307","1307"
"2329","1","1","1","1312","1312","1312"
"2339","1","1","1","1317","1317","1317"
"2349","1","1","1","1322","1322","1322"
"2359","1","1","1","1327","1327","1327"
"2369","1","1","1","1332","1332","1332"
"2379","1","1","1","1337","1337","1337"
"2389","1","1","1","1342","1342","1342"
"2399","1","1","1","1347","1347","1347"
"2409","1","1","1","1352","1352","1352"
"2419","1","1","1","1358","1358","1358"
"2429","1","1","1","1363","1363","1363"
"2439","1","1","1","1368","1368","1368"
"2449","1","1","1","1373","1373","1373"
"2459","1","1","1","1378","1378","1378"
"2469","1","1","1","1383","1383","1383"
"2479","1","1","1","1388","1388","1388"
"2489","1","1","1","1393","1393","1393"
"2499","1","1","1","1398","1398","1398"
"2509","1","1","1","1436","1436","1436"
"2519","1","1","1","1441","1441","1441"
"2529","1","1","1","1446","1446","1446"
"2539","1","1","1","1451","1451","1451"
"2549","1","1","1","1456","1456","1456"
"2559","1","1","1","1461","1461","1461"
"2569","1","1","1","1466","1466","1466"
"2579","1","1","1","1471","1471","1471"
"2589","1","1","1","1476","1476","1476"
"2599","1","1","1","1481","1481","1481"
"2609","1","1","1","1486","1486","1486"
"2619","1","1","1","1491","1491","1491"
"2629","1","1","1","1496","1496","1496"
"2639","1","1","1","1501","1501","1501"
"2649","1","1","1","1506","1506","1506"
"2659","1","1","1","1511","1511","1511"
"2669","1","1","1","1516","1516","1516"
"2679","1","1","1","1521","1521","1521"
"2689","1","1","1","1527","1527","1527"
"2699","1","1","1","1532","1532","1532"
"2709","1","1","1","1537","1537","1537"
"2719","1","1","1","1542","1542","1542"
"2729","1","1","1","1547","1547","1547"
"2739","1","1","1","1552","1552","1552"
"2749","1","1","1","1557","1557","1557"
"2759","1","1","1","1562","1562","1562"
"2769","1","1","1","1567","1567","1567"
"2779","1","1","1","1572","1572","1572"
"2789","1","1","1","1577","1577","1577"
"2799","1","1","1","1582","1582","1582"
"2809","1","1","1","1587","1587","1587"
"2819","0.9827265739440918","0.9827265739440918","0.9827265739440918","1592","1592","1592"
"2829","1","1","1","1597","1597","1597"
"2839","1","1","1","1602","1602","1602"
"2849","0.9706227779388428","0.9706227779388428","0.9706227779388428","1607","1607","1607"
"2859","1","1","1","1612","1612","1612"
"2869","1","1","1","1617","1617","1617"
"2879","1","1","1","1622","1622","1622"
"2889","1","1","1","1627","1627","1627"
"2899","1","1","1","1632","1632","1632"
"2909","0.9730252623558044","0.9730252623558044","0.9730252623558044","1637","1637","1637"
"2919","1","1","1","1642","1642","1642"
"2929","0.9852153658866882","0.9852153658866882","0.9852153658866882","1647","1647","1647"
"2939","1","1","1","1652","1652","1652"
"2949","1","1","1","1658","1658","1658"
"2959","1","1","1","1663","1663","1663"
"2969","1","1","1","1668","1668","1668"
"2979","1","1","1","1673","1673","1673"
"2989","1","1","1","1678","1678","1678"
"2999","1","1","1","1683","1683","1683"
"3009","1","1","1","1721","1721","1721"
"3019","1","1","1","1726","1726","1726"
"3029","1","1","1","1731","1731","1731"
"3039","1","1","1","1736","1736","1736"
"3049","1","1","1","1741","1741","1741"
"3059","1","1","1","1746","1746","1746"
"3069","1","1","1","1751","1751","1751"
"3079","1","1","1","1756","1756","1756"
"3089","1","1","1","1761","1761","1761"
"3099","1","1","1","1766","1766","1766"
"3109","1","1","1","1771","1771","1771"
"3119","1","1","1","1776","1776","1776"
"3129","1","1","1","1781","1781","1781"
"3139","1","1","1","1786","1786","1786"
"3149","1","1","1","1791","1791","1791"
"3159","1","1","1","1796","1796","1796"
"3169","1","1","1","1801","1801","1801"
"3179","1","1","1","1806","1806","1806"
"3189","1","1","1","1811","1811","1811"
"3199","1","1","1","1816","1816","1816"
"3209","1","1","1","1821","1821","1821"
"3219","1","1","1","1827","1827","1827"
"3229","1","1","1","1832","1832","1832"
"3239","1","1","1","1837","1837","1837"
"3249","1","1","1","1842","1842","1842"
"3259","1","1","1","1847","1847","1847"
"3269","1","1","1","1852","1852","1852"
"3279","1","1","1","1857","1857","1857"
"3289","1","1","1","1862","1862","1862"
"3299","1","1","1","1867","1867","1867"
"3309","1","1","1","1872","1872","1872"
"3319","1","1","1","1877","1877","1877"
"3329","1","1","1","1882","1882","1882"
"3339","1","1","1","1887","1887","1887"
"3349","1","1","1","1892","1892","1892"
"3359","1","1","1","1897","1897","1897"
"3369","1","1","1","1902","1902","1902"
"3379","1","1","1","1907","1907","1907"
"3389","1","1","1","1912","1912","1912"
"3399","1","1","1","1917","1917","1917"
"3409","1","1","1","1922","1922","1922"
"3419","1","1","1","1927","1927","1927"
"3429","1","1","1","1932","1932","1932"
"3439","1","1","1","1937","1937","1937"
"3449","1","1","1","1942","1942","1942"
"3459","1","1","1","1947","1947","1947"
"3469","0.9689957499504089","0.9689957499504089","0.9689957499504089","1952","1952","1952"
"3479","0.974144458770752","0.974144458770752","0.974144458770752","1957","1957","1957"
"3489","1","1","1","1963","1963","1963"
"3499","1","1","1","1968","1968","1968"
"3509","1","1","1","2006","2006","2006"
"3519","1","1","1","2011","2011","2011"
"3529","1","1","1","2016","2016","2016"
"3539","1","1","1","2021","2021","2021"
"3549","0.8642930388450623","0.8642930388450623","0.8642930388450623","2026","2026","2026"
"3559","1","1","1","2031","2031","2031"
"3569","0.9930023550987244","0.9930023550987244","0.9930023550987244","2036","2036","2036"
"3579","1","1","1","2041","2041","2041"
"3589","1","1","1","2046","2046","2046"
"3599","0.8850640654563904","0.8850640654563904","0.8850640654563904","2051","2051","2051"
"3609","0.880586564540863","0.880586564540863","0.880586564540863","2056","2056","2056"
"3619","0.9294676780700684","0.9294676780700684","0.9294676780700684","2061","2061","2061"
"3629","1","1","1","2066","2066","2066"
"3639","1","1","1","2071","2071","2071"
"3649","1","1","1","2076","2076","2076"
"3659","1","1","1","2081","2081","2081"
"3669","1","1","1","2086","2086","2086"
"3679","1","1","1","2091","2091","2091"
"3689","1","1","1","2096","2096","2096"
"3699","1","1","1","2101","2101","2101"
"3709","1","1","1","2106","2106","2106"
"3719","1","1","1","2111","2111","2111"
"3729","1","1","1","2116","2116","2116"
"3739","1","1","1","2121","2121","2121"
"3749","1","1","1","2126","2126","2126"
"3759","1","1","1","2132","2132","2132"
"3769","1","1","1","2137","2137","2137"
"3779","1","1","1","2142","2142","2142"
"3789","1","1","1","2147","2147","2147"
"3799","1","1","1","2152","2152","2152"
"3809","1","1","1","2157","2157","2157"
"3819","1","1","1","2162","2162","2162"
"3829","1","1","1","2167","2167","2167"
"3839","1","1","1","2172","2172","2172"
"3849","1","1","1","2177","2177","2177"
"3859","1","1","1","2182","2182","2182"
"3869","1","1","1","2187","2187","2187"
"3879","1","1","1","2192","2192","2192"
"3889","0.9697432518005371","0.9697432518005371","0.9697432518005371","2197","2197","2197"
"3899","1","1","1","2202","2202","2202"
"3909","1","1","1","2207","2207","2207"
"3919","1","1","1","2212","2212","2212"
"3929","1","1","1","2217","2217","2217"
"3939","1","1","1","2222","2222","2222"
"3949","1","1","1","2227","2227","2227"
"3959","0.9707812666893005","0.9707812666893005","0.9707812666893005","2232","2232","2232"
"3969","1","1","1","2237","2237","2237"
"3979","1","1","1","2242","2242","2242"
"3989","0.7437909841537476","0.7437909841537476","0.7437909841537476","2247","2247","2247"
"3999","0.8314032554626465","0.8314032554626465","0.8314032554626465","2252","2252","2252"
"4009","0.8678502440452576","0.8678502440452576","0.8678502440452576","2290","2290","2290"
"4019","1","1","1","2295","2295","2295"
"4029","1","1","1","2301","2301","2301"
"4039","1","1","1","2306","2306","2306"
"4049","1","1","1","2311","2311","2311"
"4059","1","1","1","2316","2316","2316"
"4069","1","1","1","2321","2321","2321"
"4079","0.974906325340271","0.974906325340271","0.974906325340271","2326","2326","2326"
"4089","1","1","1","2331","2331","2331"
"4099","1","1","1","2336","2336","2336"
"4109","0.9170677065849304","0.9170677065849304","0.9170677065849304","2341","2341","2341"
"4119","1","1","1","2346","2346","2346"
"4129","1","1","1","2351","2351","2351"
"4139","1","1","1","2356","2356","2356"
"4149","1","1","1","2361","2361","2361"
"4159","1","1","1","2366","2366","2366"
"4169","1","1","1","2371","2371","2371"
"4179","1","1","1","2376","2376","2376"
"4189","1","1","1","2381","2381","2381"
"4199","1","1","1","2386","2386","2386"
"4209","0.9749433994293213","0.9749433994293213","0.9749433994293213","2391","2391","2391"
"4219","1","1","1","2396","2396","2396"
"4229","1","1","1","2401","2401","2401"
"4239","1","1","1","2406","2406","2406"
"4249","1","1","1","2411","2411","2411"
"4259","1","1","1","2416","2416","2416"
"4269","1","1","1","2421","2421","2421"